Link,Bedrooms,Bathrooms,Area,Price,Price_per_meter,Address,City,Location1,Location2,Unit,Type,Rent_sale
https://remax.com.eg/property/shop-335m-two-floors-in-nasr-city-6248,1,1,335,"EGP 200,000",597.01,"Nasr City - Cairo , Egypt",Cairo,Nasr City,None,Apartment,Residential,Rent
https://remax.com.eg/property/apartment-280-sqm-for-sale-in-nasr-city-6252,3,2,280,"EGP 6,500,000",23214.29,"Nasr City - Cairo , Egypt",Cairo,Nasr City,None,Apartment,Residential,Rent
https://remax.com.eg/property/licensed-dental-clinic-for-sale-80-m-in-al-hadaia-5232,3,1,80,"EGP 3,250,000",40625.0,"Hay Sharq - Alexandria , Egypt",Alexandria,Hay Sharq,None,Apartment,Residential,Rent
https://remax.com.eg/property/licensed-apartment-125-m-for-sale-moharram-bek-tram-zein-el-abedin-5168,3,1,125,"EGP 2,550,000",20400.0,"Hay Sharq - Alexandria , Egypt",Alexandria,Hay Sharq,None,Apartment,Residential,Rent
https://remax.com.eg/property/apartment-200-m-for-rent-furnished-rushdi-steps-from-the-sea-4833,4,2,200,"EGP 40,000",200.0,"Hay Sharq - Alexandria , Egypt",Alexandria,Hay Sharq,None,Apartment,Residential,Rent
https://remax.com.eg/property/apartment-for-sale-150-m-sidi-bishr-mohamed-naguib-square-4307,3,1,150,"EGP 2,900,000",19333.33,"Hay Awal El Montazah - Alexandria , Egypt",Alexandria,Hay Awal El Montazah,None,Apartment,Residential,Sale
https://remax.com.eg/property/resale-apartment-in-elmostathmer-elsaghir-zayed-3055,2,2,105,"EGP 2,950,000",28095.24,"Sheikh Zayed City - Giza , Egypt",Giza,Sheikh Zayed City,None,Apartment,Residential,Sale
https://remax.com.eg/property/standalone-for-sale-in-el-rabwa-el-sheikh-zayed-3919,3,2,370,"EGP 26,500,000",71621.62,"Sheikh Zayed City - Giza , Egypt",Giza,Sheikh Zayed City,None,Apartment,Residential,Sale
https://remax.com.eg/property/apartment-with-attractive-price-marville-new-zayed-5006,4,4,268,"EGP 14,875,000",55503.73,"Sheikh Zayed City - Giza , Egypt",Giza,Sheikh Zayed City,None,Apartment,Residential,Sale
https://remax.com.eg/property/apartment-for-sale-155-m-marouj-compound-in-the-heart-of-smouha-4828,3,3,155,"EGP 5,000,000",32258.06,"Hay Sharq - Alexandria , Egypt",Alexandria,Hay Sharq,None,Apartment,Commercial,Sale
https://remax.com.eg/property/apartment-for-sale-180-m-full-view-of-smouha-club-4525,3,2,180,"EGP 7,000,000",38888.89,"Hay Sharq - Alexandria , Egypt",Alexandria,Hay Sharq,None,Apartment,Residential,Rent
https://remax.com.eg/property/apartment-for-sale-in-zayed-heights-compound-2850,3,3,240,"EGP 5,600,000",23333.33,"Sheikh Zayed City - Giza , Egypt",Giza,Sheikh Zayed City,None,Apartment,Residential,Sale
https://remax.com.eg/property/super-lux-apartment-with-roof-terrace-view-6216,3,2,185,"EGP 6,350,000",34324.32,"- , Egypt",None,None,None,Apartment,Residential,Sale
https://remax.com.eg/property/apartment-for-sale-155-m-sidi-gaber-al-musheer-street-public-area-5007,3,2,155,"EGP 5,000,000",32258.06,"Ganoub El Giza - Giza , Egypt",Giza,Ganoub El Giza,None,Apartment,Residential,Rent
